GERMAN_NOUN,ENGLISH_TRANSLATION,PLURAL,EXAMPLE
die Bundesrepublik,Federal Republic,die Bundesrepubliken,Die Bundesrepublik Deutschland wurde 1949 gegründet.
die Praxis,"practice, doctor's office",die Praxen,Theorie und Praxis klaffen oft auseinander.
der Schluss,"end, conclusion (S~)",die Schlüsse,Am Schluss der Veranstaltung wurde noch viel diskutiert.
die Haut,skin,die Häute,Sie hat eine schöne Haut.
das Glas,glass,die Gläser,Ein Glas Rotwein verschönert uns den Abend.
die Maschine,machine,die Maschinen,Welche Maschine ist kaputt?
die Nummer,number (N~),die Nummern,Ziehen Sie eine Nummer und warten Sie!
der Finger,finger,die Finger,Marsmenschen haben sieben Finger an jeder Hand.
das Russisch,Russian (language),no plural,Sein Russisch konnte er während eines Auslandsaufenthaltes in Moskau verbessern.
der Titel,title,die Titel,Wie lautet der Titel des Spielfilms?
der Roman,novel,die Romane,Anke liest einen Roman von Thomas Mann.
der Hund,dog,die Hunde,Das ist ein dicker Hund.
die Sicht,"view, visibility",die Sichten,Sie hatten eine schöne Sicht auf die Stadt.
der Ausdruck,"term, expression",die Ausdrücke,Er hat einen unpassenden Ausdruck verwendet.
der Politiker,politician,die Politiker,Viele Politiker sind Lehrer.
die Theorie,theory,die Theorien,Seine Theorie war falsch.
das Team,team (T~),die Teams,Wir sind ein gutes Team.
die Umwelt,environment,die Umwelten,Autoabgase schaden der Umwelt.
der Verein,"association, club",die Vereine,Er ist Mitglied in einem Verein.
die Freundin,friend (female),die Freundinnen,Meine Freundin Christina heiratet in zwei Monaten.
der Haushalt,"household, budget",die Haushalte,Die Kinder helfen im Haushalt.
der Dienstag,Tuesday,die Dienstage,Dienstag gehe ich ins Kino.
das Material,material (M~),die Materialien,Aus welchem Material sind diese Strümpfe.
die Tatsache,fact (T~),die Tatsachen,Ich habe mich mit dieser Tatsache abgefunden.
der Wagen,"car, carriage",die Wagen,Wo haben wir den Wagen geparkt?
die Unterstützung,support (U~),die Unterstützungen,Ohne staatliche Unterstützung könnten sie gar nicht leben.
die Schulter,shoulder,die Schultern,Meine linke Schulter tut weh.
die Umgebung,surroundings,die Umgebungen,Sie suchen eine Arbeit in der Umgebung von Hamburg.
der Rest,"rest, remains",die Reste,Magst du noch den Rest des Kuchens?
die Produktion,production (P~),die Produktionen,Die Produktion von Autos ist um 25% gestiegen.
die Sorge,worry,die Sorgen,Mach dir keine Sorgen!
der Soldat,soldier,die Soldaten,In seiner Jugend war er Soldat.
das Fernsehen,television,no plural,Was kommt heute im Fernsehen?
die Ruhe,"silence, peace (R~)",no plural,Junge Eltern brauchen Ruhe und Erholung.
das Volk,"people, nation",die Völker,Wir sind das Volk!
das Zeichen,sign,die Zeichen,Ein Regenbogen ist ein gutes Zeichen.
der Schaden,damage,die Schäden,Der Schaden war groß.
der Mittwoch,Wednesday,die Mittwoche,Am Mittwoch arbeitet sie nur bis mittags.
die Energie,energy,die Energien,Aus Wind kann Energie gewonnen werden.
der Zweck,purpose,die Zwecke,Zu welchem Zweck sind wir hier versammelt?
der Angriff,attack (Ang~),die Angriffe,Das ist ein Angriff auf den Präsidenten.
der Grad,degree,die Grade,In Deutschland wird die Temperatur in Grad Celsius gemessen.
die Öffentlichkeit,public (Ö~),die Öffentlichkeiten,Jan Hus wurde in aller Öffentlichkeit hingerichtet.
der Schutz,protection,die Schutze,Du stehst unter meinem Schutz.
der Anteil,"share, portion",die Anteile,Der größte Anteil gehört seiner Schwester.
der Job,job,die Jobs,Der Job scheint sehr lukrativ zu sein.
der Besuch,visit,die Besuche,Wir bekommen Sonntag Besuch.
der Wind,wind,die Winde,Das Flugzeug startet trotz des starken Windes.
der Antrag,application,die Anträge,Sie müssen diesen Antrag ausfüllen.
die Erklärung,explanation (E~),die Erklärungen,Ich verlange eine Erklärung von dir.
der Beschäftigte,employee (B~),die Beschäftigten,Die Beschäftigten streiken schon seit Wochen.
der Unterricht,"instruction, classes (U~)",die Unterrichte (plural seldom),Der Unterricht endet am späten Nachmittag.
das Amt,"office, department, function",die Ämter,Sie nimmt in ihrer Partei ein hohes Amt ein.
der Gang,"corridor, aisle, course (G~)",die Gänge,Der ganze Gang steht voller Arbeitsloser.
die Behandlung,treatment,die Behandlungen,Für diese Krankheit gibt es eine neue Behandlung.
das Feld,field,die Felder,Auf diesem Feld wird Mais angebaut.
die Einrichtung,"institution, furnishings (E~)",die Einrichtungen,Die Einrichtung eures Wohnzimmers gefällt mir.
der Lauf,"course, running (L~)",die Läufe,Das ist der Lauf der Welt.
das Zentrum,centre (Z~),die Zentren,Im Zentrum unserer Überlegungen sollten die Bedürfnisse von Kindern stehen.
der Anschlag,attack (Ans~),die Anschläge,Am Montag Abend ereignete sich ein Anschlag auf die Russische Botschaft.
das Ausland,foreign countries,no plural,Er möchte ein Jahr lang im Ausland studieren.
der Faktor,factor,die Faktoren,Das ist der entscheidende Faktor.
die Erkenntnis,"realisation, discovery (E~)",die Erkenntnisse,Neue wissenschaftliche Erkenntnisse gibt es fast jeden Tag.
die Spur,"track, lane",die Spuren,Die Spuren verliefen sich im Sand.
das Hotel,hotel,die Hotels,Sie haben ein Zimmer in einem kleinen Hotel gebucht.
der Fehler,"mistake, error",die Fehler,Begehen Sie keinen Fehler!
das Publikum,"public, audience (P~)",no plural,Das Publikum applaudierte sehr lange.
der Berg,"hill, mountain",die Berge,Die Hütte steht auf einem hohen Berg.
die Analyse,analysis,die Analysen,Die Analyse der Ergebnisse wird uns noch lange beschäftigen.
die Hochschule,"college, university",die Hochschulen,Die Hochschule für Grafik und Buchkunst in Leipzig hat eine lange Tradition.
die Studie,study,die Studien,Eine andere wissenschaftliche Studie zeigt das genaue Gegenteil.
der Vorsitzende,chair person,die Vorsitzenden,Frau Schulz ist die Vorsitzende der Arbeiterpartei.
die Freizeit,spare time,die Freizeiten,Womit verbringst du deine Freizeit?
der Partner,partner,die Partner,Für den Tangokurs suche ich noch einen Partner.
die Freiheit,freedom,die Freiheiten,Jeder Mensch hat das Recht auf Freiheit.
die Kritik,"criticism, review",die Kritiken,Deine Kritik ist etwas überzogen.
die See (sea),sea (S~),no plural,Matrosen fahren zur See.
die GmbH,"limited liability company, Ltd",die  GmbHs,Für die Gründung einer GmbH braucht man Eigenkapital.
der Typ,"type, guy (T~)","die Type, die Typen",Was für ein Typ Mensch bist du?
der See,lake,die Seen,"Vor uns lag ein kalter, tiefer See."
die Gegend,"area, region (Geg~)",die Gegenden,Familie Fetzer lebt in einer waldreichen Gegend.
das Ereignis,event (E~),die Ereignisse,Die Geburt eines Kindes ist immer ein erfreuliches Ereignis.
der Arbeitsplatz,"workplace, job",die Arbeitsplätze,Er befindet sich auf der Suche nach einem neuen Arbeitsplatz.
das Objekt,object (O~),die Objekte,In der Ausstellung kann man 200 Objekte von verschiedenen Künstlern sehen.
der Sprecher,speaker,die Sprecher,Heute hält der Sprecher des Studentinnenrates eine Rede.
die Verantwortung,responsibility,die Verantwortungen,Eltern tragen Verantwortung für ihre Kinder.
die Fähigkeit,"ability, capability",die Fähigkeiten,Die intellektuellen Fähigkeiten von Menschen sind oft sehr unterschiedlich.
die Aufnahme,"reception, recording, snapshot",die Aufnahmen,Auf der CD ist eine historische Aufnahme einer Rede Willy Brandts zu hören.
die Kontrolle,"control, inspection (K~)",die Kontrollen,In der Straßenbahn gibt es regelmäßig Kontrollen.
das Opfer,"sacrifice, victim",die Opfer,Herr Trautmann wurde Opfer einer Intrige.
die Wahrheit,truth,die Wahrheiten,Sie verschweigt ihm die Wahrheit.
der Urlaub,"holidays, vacation (U~)",die Urlaube,Unser Amerikaurlaub im letzten Jahr war ein sehr teurer Urlaub.
das Gebäude,building,die Gebäude,In diesem Gebäude befindet sich die Stadtverwaltung.
die Karte,"card, ticket, menu",die Karten,Wieviel kostet eine Karte für das Konzert heute Abend?
das Jahrzehnt,decade,die Jahrzehnte,Das letzte Jahrzehnt des 20. Jahrhunderts war relativ friedlich.
die Prüfung,"examination, test (P~)",die Prüfungen,Mindestens die Hälfte der Teilnehmer hat die Prüfung nicht bestanden.
die Regelung,"regulation, settlement (R~)",die Regelungen,Die Politiker haben eine neue Regelung getroffen.
der Gesellschafter,"associate, shareholder (G~)",die Gesellschafter,Sie haben gegen alle Gesellschafter des Unternehmens geklagt.
der Bezug,"reference, cover",die Bezüge,Ich sehe hier keinen Bezug zu unserer Problemstellung.
die Ausstellung,exhibition,die Ausstellungen,Es handelt sich hier um eine Ausstellung zeitgenössischer Maler.
der Norden,north,no plural,Im Norden der Stadt liegt der Zoo.
die Hoffnung,hope,die Hoffnungen,Trotz seiner Krankheit ist er voller Hoffnung.
die Bitte,request (B~),die Bitten,Ich habe eine Bitte an dich.
das Schiff,ship,die Schiffe,"Sein Traum ist es, mit dem Schiff nach Südamerika zu fahren."
das Ohr,ear,die Ohren,Ich bin auf dem linken Ohr etwas taub.
die Tat,"deed, act",die Taten,Sie beging eine grausame Tat.
der Gewinn,"profit, gain",die Gewinne,Das Unternehmen erzielte dieses Jahr nur minimalen Gewinn.
das Band 🎀,"ribbon, tape",die Bänder,Gelbe Bänder flatterten im Wind.
die Einstellung,"setting, attitude, employment",die Einstellungen,Sie hat eine positive Einstellung gegenüber ihren Schwiegereltern.
der Bericht,report (B~),die Berichte,Im Fernsehen lief ein Bericht über China.
der Band (volume),"volume, tome",die Bänder,Bald erscheint der sechste Band der Enzyklopädie.
der König,king,die Könige,Wer ist König von Spanien?
der Mai,May,die Maie,Im Mai fangen die Blumen an zu blühen.
der Sieg,victory,die Siege,Sie errangen erneut einen unerwarteten Sieg.
die Band,band (musical),die Bands,Die Beatles waren die erfolgreichste Band der 60er Jahre.
das Gericht,1) court; 2) dish,die Gerichte,Das Gericht ist zu einer Entscheidung gekommen.
der Bund,"association, alliance (Bu~)",die Bünde,Sie gehen den Bund der Ehe ein.
der Traum,dream,die Träume,Heinz hatte einen schlimmen Traum.
die Vergangenheit,past,die Vergangenheiten,Kleopatra hatte eine dunkle Vergangenheit.
der Direktor,director,die Direktoren,Etwas später wurde Herr Schwab Direktor des Gymnasiums.
die Qualität,quality,die Qualitäten,Diese Seife ist von höchster Qualität.
der Besucher,visitor,die Besucher,Bereits in der ersten Woche sahen Tausende von Besuchern die Ausstellung.
der Abschnitt,"portion, section",die Abschnitte,Besonders der dritte Abschnitt des Textes ist sehr interessant.
die Union,union,die Unionen,Die Europäische Union wurde im Mai 2004 um zehn Länder erweitert.
die Geographie,geography,die Geographien,Kenntnisse in Geographie sind oft sehr nützlich.
der Hintergrund,background,die Hintergründe,Halte dich bitte unauffällig im Hintergrund!
der Rand,edge,die Rände,Wir standen am Rand der Schlucht und schauten in die Tiefe.
der Amerikaner,American,die Amerikaner,Der Verstorbene war Amerikaner.
der Verlust,loss,die Verluste,"Das Unternehmen machte letztes Jahr keinen Gewinn, sondern einen hohen Verlust."
der Bauer,farmer,die Bauern,Seine Eltern waren Bauern in Schlesien.
der Freitag,Friday,die Freitage,Freitag geht Arnold immer Kegeln.
die Ehe,marriage,die Ehen,Sie verbrachten eine glückliche Ehe.
der Winter,winter,die Winter,Der letzte Winter war kalt und schneereich.
die Ursache,cause,die Ursachen,Die Ursache für den Brand ist noch nicht bekannt.
der Zuschauer,"spectator, viewer",die Zuschauer,"Die Zuschauer beginnen, sich zu langweilen."
die Anzahl,"quantity, number",no plural,Eine hohe Anzahl von Jugendlichen sieht pessimistisch in die Zukunft.
die Aktiengesellschaft,incorporated company (inc.),die Aktiengesellschaften,Die Aktiengesellschaft wählt einen neuen Aufsichtsrat.
die Pflanze,plant,die Planzen,Zwei meiner Pflanzen sind eingegangen.
der Samstag,Saturday,die Samstage,Am Samstag hat die Bibliothek bis 17 Uhr geöffnet.
die Störung,"disturbance, interruption",die Störungen,Die Störung im Atomkraftwerk verunsicherte die Bevölkerung.
die Generation,generation,die Generationen,Ihnen gehört das Haus bereits in der dritten Generation.
die Eigenschaft,"property, quality, feature (E~)",die Eigenschaften,Claudia hat eine Menge guter Eigenschaften.
der Vorschlag,"suggestion, proposal",die Vorschläge,Wir nehmen Ihren Vorschlag an.
der Januar,January,die Januare,Im Januar habe ich ein Vorstellungsgespräch in Bonn.
der Vertreter,representative,die Vertreter,Ein Vertreter der Jugendinitiative ergriff das Wort.
die Bildung,education,die Bildungen,Sie hat eine hohe Bildung genossen.
der Zentimeter,centimetre,die Zentimeter,Ein A4-Blatt misst etwa 21 x 30cm.
die Nachricht,"news, message",die Nachrichten,Deine Nachricht kam völlig unerwartet.
die Insel,island,die Inseln,Rügen ist die größte deutsche Insel.
das Instrument,instrument,die Instrumente,Spielen Sie ein Instrument?
der Abstand,"distance, gap (A~)",die Abstände,"Viele Autounfälle entstehen dadurch, dass nicht genügend Abstand gehalten wird."
der Leiter,leader (L~),die Leiter,Max war der Leiter seiner Gruppe.
der Geist,"ghost, mind, spirit",die Geister,Marie Curie hatte einen wachen Geist.
das Semester,semester,die Semester,Das Semester beginnt im Oktober und endet im März.
der Stand,"stand, stage",die Stände,Sie war auf dem neuesten Stand der Entwicklungen.
der Dezember,December,die Dezember,Im Dezember gibt es Ferien.
der Abschluss,"end, conclusion (Ab~)",die Abschlüsse,Der Abschluss des Studiums zog sich immer weiter hinaus.
die Tradition,tradition,die Traditionen,Das Eierwerfen ist eine alte sächsische Tradition.
das Interview,interview,die Interviews,Es wurden viele Interviews geführt.
das Blatt,"sheet, leaf",die Blätter,Vor ihr lag ein leeres Blatt Papier.
der Donnerstag,Thursday,die Donnerstage,Donnerstag Abend gehe ich ins Kabarett.
die Leiter 🏗,ladder,die Leitern,Stell die Leiter bitte an die Garage!
die Basis,basis,die Basen,Mit einer guten Ausbildung schafft man sich eine solide Basis für die Zukunft.
die Bühne,stage,die Bühnen,Die Sängerin tritt auf die Bühne.
das Museum,museum,die Museen,In Leipzig hat ein neues Museum eröffnet.
das Element,element,die Elemente,"Kennst du den Film „Das siebte Element""?"
die Mama,mamma,die Mamas,Wo ist deine Mama?
die Nutzung,use (N~),die Nutzungen,Die Nutzung dieses Gerätes außerhalb der Dienstzeiten ist streng untersagt.
die Dame,lady,die Damen,Die Dame des Hauses ist leider nicht da.
die Behörde,"department, authorities",die Behörden,Wenden Sie sich bitte an die zuständigen Behörden.
die Kommunikation,communication (K~),die Kommunikationen,Das Telefon ist ein beliebtes Mittel zur Kommunikation.
die Anlage,"(sports) complex, investment, attachment",die Anlagen,Für den Erhalt dieser Anlage wurde viel Geld gespendet.
der Hof,"courtyard, yard",die Höfe,Die Kinder spielen im Hof.
die Gelegenheit,opportunity,die Gelegenheiten,Plötzlich bot sich ihr eine sehr gute Gelegenheit für ihren Plan.
der Terror,terror,no plural,Der Anfang des 2 1 . Jahrhunderts stand ganz im Zeichen des Terrors.
das Verständnis,understanding,die Verständnisse,Die Eltern haben für die Probleme ihrer Tochter viel Verständnis.
der Bürgermeister,mayor,die Bürgermeister,Der Leipziger Bürgermeister heißt Wolfgang Tiefensee.
die Ecke,corner,die Ecken,Früher mussten unartige Schüler in der Ecke stehen.
die Auseinandersetzung,"argument, quarrel (Aus~)",die Auseinandersetzungen,Sie hatten eine kleine Auseinandersetzung.
die Ansicht,"opinion, view (A~)",die Ansichten,"Das ist deine Ansicht, nicht meine!"
der Herbst,autumn,die Herbste,Dieses Jahr war der Herbst sehr regnerisch.
die Definition,definition,die Definitionen,Das ist eine Frage der Definition.
das Kriterium,criterion,die Kriterien,Wir haben ein wichtiges Kriterium außer Acht gelassen.
die Bahn,"train, railway, way",die Bahnen,Ich fahre morgen mit der Bahn nach Weimar.
der Jude,Jew,die Juden,Jesus war Jude.
die Zusammenarbeit,"cooperation, collaboration (Z~)",no plural,Trinken wir auf eine erfolgreiche Zusammenarbeit!
die Masse,"mass, crowd",die Massen,Das Gesetz von der Erhaltung der Masse wird im Physikunterricht gelehrt.
die Veranstaltung,event (V~),die Veranstaltungen,Es findet eine festliche Veranstaltung zu seinen Ehren statt.
die Nation,nation,die Nationen,In Deutschland leben viele verschiedene Nationen.
das Hobby,hobby,die Hobbys,Was für Hobbys hast du?
der Bau,"construction, building (B~)","die Baue, die Bauten",Der Bau der Autobahn verzögert sich um 3 Monate.
die Änderung,change (Ä~),die Änderungen,Man hat mich über diese Änderung nicht informiert.
die Ausnahme,exception,die Ausnahmen,Wir können bei Ihnen .leider keine Ausnahme machen.
das Flugzeug,airplane,die Flugzeuge,Wann landet dein Flugzeug in Hamburg?
der Stein,"rock, stone (S~)",die Steine,"Susanne sammelt Steine, die sie im Urlaub findet."
das Foto,photo,die Fotos,Hanna schenkte ihrer Liebsten ein schönes Foto von sich.
die Phase,phase,die Phasen,Die Pubertät ist eine schwierige Phase im Leben.
der Ton,"1) sound, tone; 2) clay",die Töne,Meine Gitarre macht komische Töne.
das Italienisch,Italian (language),no plural,Italienisch ist eine romanische Sprache.
die Landschaft,"landscape, countryside",die Landschaften,Chile hat wunderschöne Landschaften.
der Konflikt,conflict,die Konflikte,Der Konflikt wurde friedlich gelöst.
die Lust,desire,die Lüste,Ich habe Lust auf ein Bier.
die Mehrheit,majority,die Mehrheiten,"Er muss die absolute Mehrheit erreichen, um im Amt zu bleiben."
die Leitung,"1) management, leadership; 2) pipe",die Leitungen,Katharina hat die Leitung des Projektes übernommen.
der Kandidat,candidate,die Kandidaten,Fünf Kandidaten treten gegeneinander an.
das BGB (Bürgerliches Gesetzbuch),civil code,no plural,Ein Jurist muss das BGB kennen.
der Franken,(Swiss) franc,die Franken,In der Schweiz bezahlt man mit Franken.
der Kaffee,coffee,die Kaffees,Im Büro trinken wir oft Kaffee und essen Kuchen.
die Aktivität,activity (A~),die Aktivitäten,Der Verein bietet viele sportliche Aktivitäten an.
das Fest,"festival, celebration (not 'Festival')",die Feste,Weihnachten ist das Fest der Familie.
das Dach,roof,die Dächer,Das Dach ist eingestürzt.
die Rechnung,"bill, calculation (R~)",die Rechnungen,Du hast die Rechnung immer noch nicht bezahlt.
das Schloss,1) lock; 2) castle,die Schlösser,Auf dem Schloss lebten ein König und eine Königin.
der Nachmittag,afternoon,die Nachmittage,Kommst du am Nachmittag zu mir?
die Mannschaft,"crew, team (M~)",die Mannschaften,Heute spielt die deutsche Mannschaft gegen die tschechische.
der Stern,star,die Sterne,Heute sieht man viele Sterne.
die Runde,round,die Runden,Spielen wir eine Runde Schach?
der Laden,shop (L~),die Läden,Der Laden an der Ecke musste schließen.
der Experte,expert,die Experten,Er ist Experte auf dem Gebiet der Biochemie.
der Meister,master,die Meister,Er ist ein Meister seines Fachs.
die Mauer,wall (M~),die Mauern,Die Berliner Mauer fiel am 9. November 1989.
die Gestalt,"shape, form, figure",die Gestalten,Es handelt sich um eine etwas seltsame Gestalt.
die Figur,figure,die Figuren,Andreas hat eine sportliche Figur.
das Büro,office,die Büros,Im Büro herrscht gute Stimmung.
der Frieden,peace,die Frieden,Frieden ist möglich.
der Umgang,"dealings, contact",die Umgänge,Leute wie Ernst August sind für dich kein Umgang.
die Industrie,industry,die Industrien,Die Industrie will mehr Mitsprache in der Wirtschaftspolitik.
die Branche,"branch, sector, line of business",die Branchen,Stefan ist schon seit langem in dieser Branche tätig.
der Zugang,access (not Zugriff'),die Zugänge,Hast du dort Zugang zum Internet?
die Stellung,"position, standing (S~)",die Stellungen,Er hat eine gute Stellung in dieser Firma.
der Vorgang,1) occurence; 2) process,die Vorgänge,Ich habe den Vorgang genau beobachtet.
die Darstellung,"presentation, description (D~)",die Darstellungen,Ihre Darstellung der Ereignisse war detailliert und umfangreich.
das Wachstum,growth,no plural,Das wirtschaftliche Wachstum lässt nach.
die Dauer,"length (of time), duration",die Dauern,Die Dauer der Versammlung ist nicht festgelegt.
die Szene,scene,die Szenen,"Wir spielen eine Szene aus „Faust""."
das Lager,1) camp; 2) storeroom,die Lager,Bitte hol neue Zeitschriften aus dem Lager.
die Strecke,"distance, route",die Strecken,Wir fuhren eine Strecke von 200 Kilometern.
das Blut,blood,no plural,Blut ist rot.
der Schatten,"shadow, shade",die Schatten,Die Sonne warfeinen langen Schatten.
die Lehre,"apprenticeship, lesson, doctrine",die Lehren,Gerhard macht eine Lehre als Maurer.
die Gewalt,"violence, force",die Gewalten,Die Gewalt unter Jugendlichen nimmt immer mehr zu.
der Rat,advice,die Rate,Professor Udolph holt sich in dieser Frage Rat bei einem Kollegen.
die Institution,institution,die Institutionen,An welcher Institution findet der Sprachkurs statt?
die Spitze,"point, top, peak (S~)",die Spitzen,"Nach jahrelangen Anstrengungen hatte sie es geschafft, auch international an der Spitze zu stehen."
der Konzern,(business) group,die Konzerne,VW ist ein weltweit erfolgreicher Konzern.
die Katze,cat,die Katzen,Hunde und Katzen vertragen sich normalerweise nicht.
das Pferd,horse,die Pferde,Viele kleine Kinder wollen ein Pferd besitzen.
der Fußball,"football, soccer",die Fußbälle,Fußball spielt man auf der ganzen Welt.
die Weltmeisterschaft,world championship,die Weltmeisterschaften,Für die Weltmeisterschaft im Skispringen gibt es noch Eintrittskarten.
die Konsequenz,consequence (K~),die Konsequenzen,Diese Entscheidung hat weitreichende Konsequenzen.
der Stuhl,chair,die Stühle,Wie viele Stühle fehlen noch?
das Feuer,fire,die Feuer,Petra macht Feuer im Kamin.
der Ausländer,foreigner,die Ausländer,Jeder Mensch ist irgendwo ein Ausländer.
die Aktion,"action, campaign (A~)",die Aktionen,Es ist wieder eine Aktion gegen Studiengebühren geplant.
das Gymnasium,secondary school,die Gymnasien,Das Gymnasium beschließt man mit dem Abitur.
der Verband,"association, bandage (V~)",die Verbände,Er hat einen Verband um den Fuß.
der Juli,July,die Julis,Der 14. Juli ist der französische Nationalfeiertag.
das Tor,"gate, goal",die Tore,Schließ bitte doch das Tor zu!
die Nase,nose,die Nasen,"Rudolf, das Rentier, hat eine rote Nase."
die Ausgabe,"distribution, edition, expenses",die Ausgaben,Das Wörterbuch erscheint in einer neuen Ausgabe.
der Anlass,"occasion, cause",die Anlässe,Gibt es einen Anlass zum Feiern?
der Süden,south,no plural,Im Süden Deutschlands liegen die Alpen.
die Aktie,share (finance),die Aktien,Sie spekuliert mit Aktien an der Börse.
der Trainer,"trainer, coach",die Trainer,Der Trainer kritisiert dauernd seine Sportler.
das Telefon,telephone,die Telefone,"Manche Leute haben gar kein Telefon mehr, sondern nur noch ein Handy."
die Führung,"management, command, leadership",die Führungen,Die Führung übernimmt ein Kollege aus Köln.
der Club,club,die Clubs,Im Club nebenan ist heute ein Livekonzert.
der Nachbar,neighbour,die Nachbarn,Mein Nachbar gießt im Urlaub meine Blumen.
die Medizin,medicine (M~),die Medizinen,Die Medizin kann leider nicht allen Menschen helfen.
der Terrorismus,terrorism,no plural,Der Terrorismus fordert immer mehr zivile Opfer.
die Software,software,die Softwares,"Man ist gerade dabei, diese Software zu optimieren."
die Stufe,"step, level",die Stufen,Zum Hauseingang führen drei Stufen.
das Bundesland,"federal state, province",die Bundesländer,Deutschland besteht aus 16 Bundesländern.
der Fluss,river,die Flüsse,Durch das Erdbeben ist die Brücke in den Fluss gestürzt.
die Geschwindigkeit,speed,die Geschwindigkeiten,Bei dieser Geschwindigkeit kann man nicht mehr rechtzeitig bremsen.
das Gut,"estate, good(s)",die Güter,Toleranz und Meinungsfreiheit sind wichtige Güter einer Demokratie.
der Zweifel,doubt (Z~),die Zweifel,Daran besteht kein Zweifel.
der Effekt,effect (E~),die Effekte,Man kann auch mit wenigen Mitteln einen großen Effekt erzielen.
die Messe,"(trade) fair, mass",die Messen,Die Messe findet auf dem neuen Gelände außerhalb der Stadt statt.
das Bad,"bath, bathroom, spa",die Bäder,Abends nehme ich gern ein Bad.
die Belastung,"load, strain (B~)",die Belastungen,Der Autoverkehr stellt eine große Belastung für die Umwelt dar.
die Vorschrift,"instruction, regulation (V~)",die Vorschriften,Laut Vorschrift darf man hier nicht parken.
der Umfang,"circumference, size, extent",die Umfänge,Die Erde hat einen Umfang von über 40 000 Kilometern.
der Bus,bus,die Busse,Aufs Land fährt nur zweimal täglich ein Bus.
die Anforderung,"request, demand (Anf~)",die Anforderungen,Silke stellt an ihren Mann sehr hohe Anforderungen.
die Kommission,"commission, committee (K~)",die Kommissionen,Eine Kommission entscheidet über die Zulassung zum Studium.
das Fahrrad,bicycle,die Fahrräder,"Wenn ich kann, fahre ich mit dem Fahrrad zur Uni."
der Mangel,"lack, shortage, defect",die Mängel,Der Mangel an qualifizierten Arbeitskräften belastet die regionale Wirtschaft.
der Richter,judge,die Richter,Der Richter verliest die Anklage.
der Anbieter,supplier,die Anbieter,Der Anbieter kann erst in drei Tagen liefern.
der Terrorist,terrorist,die Terroristen,Terroristen agieren meist unerwartet.
das Urteil,"sentence, judgment (U~)",die Urteile,Das Urteil über den Einbrecher wird am Montag gesprochen.
das Krankenhaus,hospital,die Krankenhäuser,Die Stadt hat vier Krankenhäuser.
der Schmerz,"pain, aching",die Schmerzen,Durch das lange Sitzen bekomme ich Schmerzen in der Schulter.
die Schuld,"guilt, debt",die Schulden,Herrn Meier trifft keine Schuld.
die Jugend,youth,no plural,Die Jugend von heute ist sehr mit sich selber beschäftigt.
das Fleisch,"meat, flesh",no plural,In der Mensa gibt es jeden Tag Fleisch.
der Juni,June,die Junis,Im Juni beginnen die Prüfungen.
die Stimmung,"mood, atmosphere (S~)",die Stimmungen,Die Stimmung im Team ist sehr gut.
der Wein,wine,die Weine,Französische und italienische Weine sind immer noch am beliebtesten.
die Welle,wave,die Wellen,Das Seebeben sandte eine riesige Welle quer über den Ozean.
die Tasche,"pocket, bag",die Taschen,"Ich muss nochmal zurück, ich habe meine Tasche im Café liegen lassen."
die Decke,1) ceiling; 2) blanket,die Decken,Fliegen können an der Decke laufen.
der Fisch,fish,die Fische,Heute Mittag gibt es Fisch mit Gemüse.
der Wettbewerb,competition (W~),die Wettbewerbe,An dem Wettbewerb nehmen Menschen aus allen Altersgruppen teil.
die Tante,aunt,die Tanten,Die Schwester meiner Mutter ist meine Tante.
die Temperatur,temperature,die Temperaturen,Wasser gefriert bei einer Temperatur von null Grad Celsius.
der Leser,reader,die Leser,Leser einer Tageszeitung sind immer gut informiert.
die Auswirkung,effect (Aus~),die Auswirkungen,Die Katastrophe wird noch jahrelange Auswirkungen haben.
das Bedürfnis,need (not 'Bedarf'),die Bedürfnisse,Das Bedürfnis nach Urlaub wächst mit jedem Arbeitstag.
das Wetter,weather,die Wetter,Lena geht auch bei schlechtem Wetter gern spazieren.
die Ware,goods (W~),die Waren,Auf dem Markt bekommt man immer frische Ware.
die Alternative,alternative,die Alternativen,Die Alternative zur Verkleinerung ist die Schließung der Fabrik.
die Haltung,"posture, attitude",die Haltungen,Seine ablehnende Haltung gegenüber Ausländern ist uns allen schon aufgefallen.
die Waffe,weapon,die Waffen,Waffen unterliegen in Deutschland strengen Gesetzen.
die Ahnung,"suspicion, idea (A~)",die Ahnungen,"Mein Vater hat keine Ahnung, wie es mir geht."
die Quelle,"source, spring",die Quellen,In einer wissenschaftlichen Arbeit müssen Quellen exakt angegeben werden.
der Manager,manager,die Manager,Ein erfolgreicher Manager leitet das Unternehmen.
das Loch,hole,die Löcher,Meine Hose hat ein Loch.
das Kleid,dress,die Kleider,Jana sieht sehr gut aus in ihrem neuen Kleid.
der Regen,rain,die Regen,Am Wochenende erwartet uns ein Mix aus Regen und Sonnenschein.
der Spieler,player,die Spieler,Der Spieler wechselt in der nächsten Saison in einen anderen Verein.
die Brust,breast,die Brüste,Bei starkem Husten hat man oft Schmerzen in der Brust.
die Religion,religion,die Religionen,Religion ist eine private Angelegenheit.
die Länge,length,die Längen,Eine Schlange von 3 Metern Länge ist aus dem Zoo verschwunden.
die Koalition,coalition,die Koalitionen,Die Koalition besteht aus drei Parteien.
die Einführung,introduction (E~),die Einführungen,Zu Beginn des Semesters gibt es eine Einführung ins Studium.
